iter	Passed	Remaining
0	296	44211
1	407	30136
2	518	25428
3	625	22829
4	646	18737
5	735	17659
6	832	16997
7	908	16124
8	982	15392
9	1062	14879
10	1151	14547
11	1245	14318
12	1310	13809
13	1377	13383
14	1455	13100
15	1528	12799
16	1602	12534
17	1704	12499
18	1789	12340
19	1874	12186
20	1954	12008
21	2052	11943
22	2088	11532
23	2176	11427
24	2265	11326
25	2346	11192
26	2439	11111
27	2537	11055
28	2635	10997
29	2744	10978
30	2815	10808
31	2882	10629
32	2970	10532
33	3044	10388
34	3106	10206
35	3190	10103
36	3290	10049
37	3365	9919
38	3470	9878
39	3543	9744
40	3623	9633
41	3726	9583
42	3809	9480
43	3913	9429
44	3996	9325
45	4072	9207
46	4148	9090
47	4223	8974
48	4302	8868
49	4376	8752
50	4465	8668
51	4543	8562
52	4610	8438
53	4691	8339
54	4776	8251
55	4848	8138
56	4920	8028
57	5005	7939
58	5041	7776
59	5079	7619
60	5163	7533
61	5243	7441
62	5305	7325
63	5365	7210
64	5457	7137
65	5534	7043
66	5627	6971
67	5718	6896
68	5803	6812
69	5891	6733
70	5960	6631
71	6042	6546
72	6135	6471
73	6201	6369
74	6273	6273
75	6365	6197
76	6448	6113
77	6556	6052
78	6648	5975
79	6761	5916
80	6864	5847
81	6952	5765
82	7024	5670
83	7095	5574
84	7165	5479
85	7234	5384
86	7309	5292
87	7384	5202
88	7460	5113
89	7524	5016
90	7606	4931
91	7700	4854
92	7788	4773
93	7874	4691
94	7960	4608
95	8039	4521
96	8122	4437
97	8183	4342
98	8270	4260
99	8361	4180
100	8446	4097
101	8515	4007
102	8583	3916
103	8655	3828
104	8777	3761
105	8876	3684
106	8962	3601
107	9064	3524
108	9180	3453
109	9257	3366
110	9329	3277
111	9431	3199
112	9506	3112
113	9570	3022
114	9649	2936
115	9686	2839
116	9774	2756
117	9829	2665
118	9863	2569
119	9935	2483
120	10008	2398
121	10099	2317
122	10176	2233
123	10241	2147
124	10319	2063
125	10387	1978
126	10468	1895
127	10547	1812
128	10612	1727
129	10696	1645
130	10771	1562
131	10843	1478
132	10952	1399
133	11079	1322
134	11148	1238
135	11233	1156
136	11323	1074
137	11402	991
138	11474	908
139	11566	826
140	11638	742
141	11706	659
142	11765	575
143	11854	493
144	11940	411
145	12040	329
146	12137	247
147	12226	165
148	12321	82
149	12399	0
